Station ID,Latitude,Longitude,Address,Charger Type,Cost (USD/kWh),Availability,Distance to City (km),Usage Stats (avg users/day),Station Operator,Charging Capacity (kW),Connector Types,Installation Year,Renewable Energy Source,Reviews (Rating),Parking Spots,Maintenance Frequency,Station Utilization (%),Distance to Nearest Station (km),Demand Score,Coverage Score,Congestion Risk,Expansion Priority Index,Expansion Recommendation,EV Growth (%),Charging Sessions,Revenue,Queue Length,Average Charging Time (min),City,EV Population,Expansion Priority
EVS00011,19.944111,26.228083,"7123 Random Rd, City 463, Country",0,0.39,2,17.42,59,1,22,"Tesla, CHAdeMO",2013,0,3.7,5,Quarterly,39.33333333333333,17.42,43.18571428571428,12.89999999999999,Low,62.50928571428571,Upgrade Existing Station,33,149,1278.42,4,23,Country,45131,0
EVS00012,55.81937,37.543245,"3932 Moscow Ave, Moscow",0,0.17,1,1.88,18,2,150,"CHAdeMO, CCS",2016,1,4.0,5,Annually,12.0,1.88,25.457142857142856,90.60000000000001,Very Low,17.97285714285714,No Immediate Action,45,79,2014.5000000000002,1,75,Moscow,17023,0
EVS00013,52.506967,13.345088,"9250 Berlin Ave, Berlin",0,0.16,2,11.77,73,0,22,Tesla,2012,0,4.0,2,Quarterly,48.66666666666667,11.77,52.985714285714295,41.15,Medium,60.04178571428571,Upgrade Existing Station,49,36,126.72,5,83,Berlin,42090,1
EVS00014,41.847035,-87.670005,"9047 Chicago Ave, Chicago",1,0.16,0,3.21,66,4,50,Tesla,2012,1,3.5,9,Annually,44.0,3.21,50.48571428571428,83.95,Medium,42.31178571428571,Monitor Demand,33,115,920.0000000000001,4,87,Chicago,2685,1
EVS00015,25.392096,55.28618,"3451 Dubai Ave, Dubai",1,0.41,0,16.7,46,1,350,"CCS, Tesla",2013,1,3.4,10,Quarterly,30.666666666666664,16.7,62.2,16.500000000000004,Low,65.605,Upgrade Existing Station,12,35,5022.5,3,53,Dubai,1769,0
EVS00016,25.335831,55.227629,"3518 Dubai Ave, Dubai",1,0.34,1,15.84,89,1,22,CCS,2020,0,3.9,9,Quarterly,59.333333333333336,15.84,64.18571428571428,20.799999999999997,High,75.64428571428572,Build New Fast Charging Station,31,65,486.20000000000005,6,75,Dubai,3433,1
EVS00017,13.877602,100.508728,"3181 Bangkok Ave, Bangkok",0,0.17,1,13.18,28,3,350,"CCS, CHAdeMO",2018,0,4.0,3,Annually,18.666666666666668,13.18,49.6,34.099999999999994,Very Low,49.90500000000001,Monitor Demand,11,126,7497.000000000001,2,51,Bangkok,6311,0
EVS00018,37.790361,-122.378324,"4733 San Francisco Ave, San Francisco",0,0.44,0,2.05,60,0,150,CHAdeMO,2023,0,4.9,7,Annually,40.0,2.05,54.85714285714285,89.75,Medium,40.53035714285714,Monitor Demand,33,107,7062.0,4,28,San Francisco,38819,1
EVS00019,37.695636,127.050246,"9257 Seoul Ave, Seoul",0,0.25,2,7.35,29,4,350,"Type 2, CHAdeMO",2017,0,4.1,2,Monthly,19.333333333333332,7.35,50.3,63.25000000000001,Very Low,40.2325,Monitor Demand,39,148,12950.0,2,82,Seoul,40188,0
EVS00020,19.519719,-99.171733,"7288 Mexico City Ave, Mexico City",2,0.25,1,0.73,12,4,350,Type 2,2023,1,3.2,5,Annually,8.0,0.73,38.4,96.35000000000001,Very Low,19.6375,No Immediate Action,47,138,12075.0,1,52,Mexico City,18568,0
EVS00021,81.568159,-92.791385,"6470 Random Rd, City 207, Country",2,0.3,1,10.43,43,3,150,"CHAdeMO, Tesla",2016,1,3.3,10,Quarterly,28.666666666666668,10.43,42.957142857142856,47.85,Low,46.185357142857136,Monitor Demand,11,104,4680.0,3,40,Country,20769,0
EVS00022,55.738402,37.675763,"9338 Moscow Ave, Moscow",1,0.1,0,5.45,47,4,350,CCS,2020,0,4.7,5,Quarterly,31.333333333333336,5.45,62.9,72.75,Low,46.4475,Monitor Demand,30,23,805.0000000000001,3,74,Moscow,29693,0
EVS00023,-33.826489,18.54196,"1194 Cape Town Ave, Cape Town",1,0.43,2,15.05,14,2,350,"CHAdeMO, Tesla",2020,1,4.2,10,Annually,9.333333333333334,15.05,39.800000000000004,24.749999999999993,Very Low,45.75749999999999,Monitor Demand,42,90,13545.000000000002,1,76,Cape Town,7396,0
EVS00024,52.43128,13.407406,"128 Berlin Ave, Berlin",2,0.21,0,9.92,52,4,22,CHAdeMO,2023,1,4.4,2,Annually,34.66666666666667,9.92,38.285714285714285,50.4,Low,45.67428571428571,Monitor Demand,21,130,600.6,3,21,Berlin,28480,0
EVS00025,41.989867,-87.637143,"1788 Chicago Ave, Chicago",0,0.5,2,4.71,67,0,50,"CCS, Tesla",2021,0,4.7,7,Quarterly,44.666666666666664,4.71,51.185714285714276,76.44999999999999,Medium,45.46678571428572,Monitor Demand,31,69,1725.0,4,32,Chicago,42434,1
EVS00026,39.908197,116.390126,"6257 Beijing Ave, Beijing",2,0.47,0,8.3,99,2,50,Type 2,2015,0,4.1,1,Monthly,66.0,8.3,73.58571428571427,58.5,High,68.70928571428571,Upgrade Existing Station,34,114,2679.0,7,23,Beijing,26658,1
EVS00027,13.743441,100.449744,"5641 Bangkok Ave, Bangkok",2,0.5,2,17.76,25,0,150,Tesla,2020,0,4.1,7,Annually,16.666666666666664,17.76,30.357142857142854,11.199999999999989,Very Low,49.472857142857144,Monitor Demand,36,111,8325.0,2,69,Bangkok,19942,0
EVS00028,-23.654772,-46.534003,"1145 São Paulo Ave, São Paulo",0,0.25,0,13.65,52,4,50,CCS,2014,0,4.7,3,Quarterly,34.66666666666667,13.65,40.68571428571428,31.75,Low,53.16178571428571,Upgrade Existing Station,37,84,1050.0,3,67,São Paulo,19431,0
EVS00029,-33.718044,151.217306,"3343 Sydney Ave, Sydney",0,0.45,1,8.36,72,3,22,Tesla,2017,0,4.8,9,Annually,48.0,8.36,52.28571428571429,58.20000000000001,Medium,53.544285714285714,Upgrade Existing Station,25,66,653.4,5,49,Sydney,3747,1
EVS00030,39.807514,116.203733,"7835 Beijing Ave, Beijing",2,0.2,1,5.52,27,1,50,"CHAdeMO, Type 2",2013,0,3.0,5,Annually,18.0,5.52,23.185714285714283,72.39999999999999,Very Low,25.684285714285714,No Immediate Action,24,125,1250.0,2,48,Beijing,1189,0
EVS00031,53.03844,17.213144,"8491 Random Rd, City 59, Country",1,0.17,0,9.13,36,4,22,"CHAdeMO, CCS",2018,1,3.6,5,Quarterly,24.0,9.13,27.085714285714285,54.35,Very Low,35.81178571428572,Monitor Demand,12,149,557.26,2,27,Country,20118,0
EVS00032,39.999797,116.345712,"3787 Beijing Ave, Beijing",1,0.19,2,18.44,90,4,150,"Tesla, Type 2",2020,1,4.1,3,Quarterly,60.0,18.44,75.85714285714286,7.799999999999995,High,85.11285714285714,Build New Fast Charging Station,46,125,3562.5,6,31,Beijing,36773,1
EVS00033,-23.619267,-46.67757,"5423 São Paulo Ave, São Paulo",2,0.46,0,18.39,97,4,350,"CCS, Type 2",2018,0,3.7,7,Monthly,64.66666666666666,18.39,97.89999999999999,8.05,High,95.59249999999999,Build New Fast Charging Station,16,43,6923.0,6,60,São Paulo,2899,1
EVS00034,39.843388,116.357078,"8032 Beijing Ave, Beijing",0,0.21,1,0.84,59,1,150,"CHAdeMO, CCS",2018,1,3.7,9,Monthly,39.33333333333333,0.84,54.15714285714286,95.8,Low,37.88285714285715,Monitor Demand,30,23,724.5,4,45,Beijing,2267,0
EVS00035,41.868532,-87.602875,"9647 Chicago Ave, Chicago",1,0.22,2,9.7,16,3,50,CHAdeMO,2015,1,4.4,2,Annually,10.666666666666668,9.7,15.485714285714284,51.5,Very Low,27.169285714285714,No Immediate Action,18,127,1397.0,1,69,Chicago,32551,0
EVS00036,43.634205,-79.494221,"1648 Toronto Ave, Toronto",1,0.39,1,10.84,21,2,22,"Type 2, Tesla",2012,1,4.7,4,Monthly,14.000000000000002,10.84,16.585714285714285,45.8,Very Low,30.854285714285712,Monitor Demand,48,38,326.04,1,21,Toronto,12394,0
EVS00037,13.756978,100.402198,"880 Bangkok Ave, Bangkok",0,0.29,2,1.28,50,2,350,Type 2,2016,0,4.3,1,Quarterly,33.33333333333333,1.28,64.99999999999999,93.6,Low,40.739999999999995,Monitor Demand,27,59,5988.5,3,74,Bangkok,4556,0
EVS00038,-33.759342,151.210366,"8960 Sydney Ave, Sydney",0,0.13,2,19.06,61,3,22,CHAdeMO,2018,1,4.2,4,Quarterly,40.666666666666664,19.06,44.58571428571428,4.700000000000005,Medium,66.43928571428572,Upgrade Existing Station,13,69,197.34,4,75,Sydney,4890,1
EVS00039,39.941888,116.320916,"2131 Beijing Ave, Beijing",2,0.37,0,15.63,69,3,350,"CCS, CHAdeMO",2023,1,4.2,3,Annually,46.0,15.63,78.3,21.84999999999999,Medium,75.9225,Build New Fast Charging Station,34,94,12173.0,5,33,Beijing,42606,1
EVS00040,-33.726294,18.460786,"6005 Cape Town Ave, Cape Town",1,0.41,0,14.62,15,4,50,"CHAdeMO, Tesla",2012,0,4.9,1,Annually,10.0,14.62,14.785714285714285,26.900000000000002,Very Low,35.24928571428571,Monitor Demand,23,31,635.5,1,25,Cape Town,31740,0
EVS00041,-52.343695,-47.887828,"1309 Random Rd, City 47, Country",0,0.44,1,2.03,20,1,350,Tesla,2014,0,5.0,3,Annually,13.333333333333334,2.03,43.99999999999999,89.85,Very Low,26.1525,No Immediate Action,18,46,7083.999999999999,1,80,Country,15502,0
EVS00042,41.978341,-87.77332,"2960 Chicago Ave, Chicago",2,0.39,2,19.63,14,4,50,"Type 2, Tesla",2023,0,4.8,3,Monthly,9.333333333333334,19.63,14.085714285714285,1.8500000000000072,Very Low,43.486785714285716,Monitor Demand,35,132,2574.0,1,31,Chicago,22777,0
EVS00043,25.281221,55.258951,"1916 Dubai Ave, Dubai",0,0.27,1,5.06,73,2,50,"Tesla, CHAdeMO",2012,1,4.3,8,Quarterly,48.66666666666667,5.06,55.385714285714286,74.7,Medium,49.25928571428571,Monitor Demand,11,68,918.0,5,32,Dubai,11627,1
EVS00044,37.574357,127.067507,"5156 Seoul Ave, Seoul",0,0.36,2,2.38,96,0,50,CCS,2019,0,3.8,3,Monthly,64.0,2.38,71.48571428571428,88.1,High,56.759285714285724,Upgrade Existing Station,29,149,2682.0,6,38,Seoul,9792,1
EVS00045,-33.737572,151.335511,"7799 Sydney Ave, Sydney",1,0.4,2,19.67,78,3,22,Tesla,2018,1,4.4,3,Quarterly,52.0,19.67,56.48571428571428,1.649999999999996,Medium,76.5167857142857,Build New Fast Charging Station,37,79,695.2,5,63,Sydney,44323,1
EVS00046,41.935571,-87.741868,"8397 Chicago Ave, Chicago",2,0.22,2,2.58,12,1,50,Tesla,2020,0,3.6,3,Quarterly,8.0,2.58,12.685714285714283,87.1,Very Low,12.589285714285714,No Immediate Action,16,49,539.0,1,78,Chicago,44021,0
EVS00047,19.055518,72.88937,"2970 Mumbai Ave, Mumbai",0,0.35,0,19.4,68,3,50,"CCS, Tesla",2021,1,3.0,9,Quarterly,45.33333333333333,19.4,51.88571428571428,3.0000000000000027,Medium,71.70428571428572,Upgrade Existing Station,17,103,1802.4999999999998,5,56,Mumbai,9433,1
EVS00048,-33.786133,151.295304,"4355 Sydney Ave, Sydney",2,0.13,0,2.31,56,0,150,CHAdeMO,2022,0,3.5,4,Annually,37.333333333333336,2.31,52.05714285714286,88.44999999999999,Low,38.86535714285715,Monitor Demand,44,47,916.5,4,44,Sydney,44001,0
EVS00049,41.878593,-87.69892,"689 Chicago Ave, Chicago",0,0.18,2,19.26,40,0,150,"CHAdeMO, CCS",2011,1,3.8,8,Monthly,26.666666666666668,19.26,40.857142857142854,3.699999999999992,Low,60.04785714285714,Upgrade Existing Station,23,44,1188.0,3,35,Chicago,12016,0
EVS00050,34.18596,-118.347082,"8531 Los Angeles Ave, Los Angeles",1,0.47,0,2.49,26,0,150,Tesla,2023,1,4.3,9,Monthly,17.333333333333336,2.49,31.057142857142857,87.55,Very Low,23.280357142857145,No Immediate Action,26,115,8107.5,2,57,Los Angeles,24897,0
EVS00051,68.997157,173.396684,"7905 Random Rd, City 102, Country",0,0.45,0,2.29,75,1,50,CHAdeMO,2022,0,5.0,9,Annually,50.0,2.29,56.78571428571427,88.55,Medium,45.47178571428571,Monitor Demand,45,144,3240.0,5,62,Country,3612,1
EVS00052,52.424113,13.37999,"8806 Berlin Ave, Berlin",1,0.33,2,8.56,50,0,50,"CHAdeMO, CCS",2011,0,3.4,3,Monthly,33.33333333333333,8.56,39.285714285714285,57.199999999999996,Low,43.19428571428572,Monitor Demand,49,29,478.5,3,33,Berlin,24483,0
EVS00053,55.720058,37.598246,"4130 Moscow Ave, Moscow",1,0.49,2,3.09,79,2,22,"CCS, Tesla",2017,0,3.8,4,Annually,52.666666666666664,3.09,57.18571428571428,84.55,Medium,48.03178571428571,Monitor Demand,13,61,657.58,5,25,Moscow,49555,1
EVS00054,41.948302,-87.718438,"6541 Chicago Ave, Chicago",2,0.37,0,1.98,79,3,50,CHAdeMO,2016,1,4.7,4,Annually,52.666666666666664,1.98,59.585714285714275,90.10000000000001,Medium,47.04928571428571,Monitor Demand,11,59,1091.5,5,42,Chicago,18159,1
EVS00055,37.5231,127.072447,"4005 Seoul Ave, Seoul",0,0.13,0,9.16,19,4,150,CHAdeMO,2013,1,3.5,5,Quarterly,12.666666666666668,9.16,26.15714285714286,54.2,Very Low,31.24285714285714,Monitor Demand,15,96,1872.0,1,79,Seoul,45974,0
EVS00056,19.118476,72.956977,"5574 Mumbai Ave, Mumbai",1,0.18,1,11.91,50,0,150,CCS,2013,1,4.2,4,Quarterly,33.33333333333333,11.91,47.857142857142854,40.449999999999996,Low,52.48535714285714,Upgrade Existing Station,13,124,3348.0,3,31,Mumbai,41994,0
EVS00057,25.283465,55.264578,"6085 Dubai Ave, Dubai",2,0.42,2,15.85,67,2,50,CHAdeMO,2018,0,4.5,8,Quarterly,44.666666666666664,15.85,51.185714285714276,20.75,Medium,64.96178571428571,Upgrade Existing Station,38,137,2877.0,4,32,Dubai,15541,1
EVS00058,37.601252,127.028633,"4787 Seoul Ave, Seoul",0,0.41,2,13.14,71,1,150,"Tesla, CCS",2012,1,4.0,4,Monthly,47.333333333333336,13.14,62.55714285714284,34.3,Medium,65.76785714285714,Upgrade Existing Station,27,61,3751.4999999999995,5,25,Seoul,36920,1
EVS00059,41.959182,-87.684862,"4378 Chicago Ave, Chicago",2,0.18,0,6.73,13,1,350,CHAdeMO,2022,0,3.5,9,Quarterly,8.666666666666668,6.73,39.1,66.35,Very Low,30.667500000000004,Monitor Demand,35,66,4158.0,1,82,Chicago,27531,0
EVS00060,41.801381,-87.620772,"16 Chicago Ave, Chicago",1,0.3,2,6.78,26,4,22,Tesla,2010,1,3.1,4,Monthly,17.333333333333336,6.78,20.085714285714285,66.10000000000001,Very Low,26.399285714285714,No Immediate Action,43,41,270.59999999999997,2,57,Chicago,2585,0
EVS00061,35.844347,28.705089,"5140 Random Rd, City 50, Country",2,0.33,2,14.4,75,3,22,Tesla,2020,0,4.6,4,Quarterly,50.0,14.4,54.38571428571428,28.000000000000004,Medium,65.70428571428572,Upgrade Existing Station,19,126,914.7600000000001,5,69,Country,4943,1
EVS00062,-33.733482,18.441992,"7833 Cape Town Ave, Cape Town",2,0.23,1,0.68,68,2,50,Type 2,2023,1,4.9,8,Quarterly,45.33333333333333,0.68,51.88571428571428,96.6,Medium,38.94428571428572,Monitor Demand,45,46,529.0,5,71,Cape Town,24939,1
EVS00063,41.970902,-87.795455,"2876 Chicago Ave, Chicago",2,0.28,2,0.96,49,2,350,Type 2,2018,0,3.8,9,Annually,32.666666666666664,0.96,64.3,95.19999999999999,Low,39.650000000000006,Monitor Demand,23,60,5880.0,3,59,Chicago,20457,0
EVS00064,43.73349,-79.340516,"5576 Toronto Ave, Toronto",1,0.36,0,5.16,31,3,22,Tesla,2018,1,3.3,4,Annually,20.666666666666668,5.16,23.585714285714285,74.2,Very Low,26.21428571428571,No Immediate Action,40,99,784.08,2,27,Toronto,2021,0
EVS00065,25.387104,55.376848,"335 Dubai Ave, Dubai",2,0.27,0,6.58,67,2,350,"CCS, Type 2",2019,0,4.8,7,Quarterly,44.666666666666664,6.58,76.89999999999999,67.10000000000001,Medium,59.02499999999999,Upgrade Existing Station,24,108,10206.000000000002,4,80,Dubai,12653,1
EVS00066,-33.877766,151.208813,"9172 Sydney Ave, Sydney",2,0.32,0,13.68,31,1,350,Tesla,2013,1,3.6,3,Monthly,20.666666666666668,13.68,51.7,31.600000000000005,Very Low,52.37,Upgrade Existing Station,17,85,9520.0,2,27,Sydney,44573,0
EVS00067,37.685854,126.915749,"5052 Seoul Ave, Seoul",1,0.45,0,8.37,20,2,150,CHAdeMO,2020,1,3.0,3,Monthly,13.333333333333334,8.37,26.857142857142858,58.15,Very Low,30.390357142857145,Monitor Demand,23,31,2092.5,1,53,Seoul,14417,0
EVS00068,39.924519,116.33618,"6966 Beijing Ave, Beijing",2,0.36,0,11.72,43,4,350,"CHAdeMO, Type 2",2015,0,4.5,3,Quarterly,28.666666666666668,11.72,60.099999999999994,41.39999999999999,Low,55.300000000000004,Upgrade Existing Station,32,92,11592.0,3,79,Beijing,41757,0
EVS00069,25.358698,55.306683,"1979 Dubai Ave, Dubai",2,0.14,1,4.71,13,3,50,"Tesla, CCS",2016,1,3.9,8,Monthly,8.666666666666668,4.71,13.385714285714284,76.44999999999999,Very Low,16.84678571428572,No Immediate Action,49,95,665.0,1,76,Dubai,10692,0
EVS00070,34.130318,-118.265518,"436 Los Angeles Ave, Los Angeles",2,0.41,1,8.75,31,0,150,Tesla,2020,0,4.4,10,Quarterly,20.666666666666668,8.75,34.55714285714285,56.25,Very Low,36.88535714285714,Monitor Demand,30,109,6703.5,2,65,Los Angeles,46758,0
EVS00071,81.083548,138.025159,"6980 Random Rd, City 205, Country",1,0.44,2,11.03,19,2,50,CCS,2017,1,4.0,3,Monthly,12.666666666666668,11.03,17.585714285714282,44.85,Very Low,31.086785714285707,Monitor Demand,25,29,638.0,1,41,Country,7873,0
EVS00072,-33.796979,18.591207,"9085 Cape Town Ave, Cape Town",0,0.46,2,4.17,37,4,22,CHAdeMO,2020,1,4.9,6,Quarterly,24.666666666666668,4.17,27.785714285714285,79.14999999999999,Very Low,27.661785714285713,No Immediate Action,27,115,1163.8000000000002,2,59,Cape Town,6675,0
EVS00073,34.001771,-118.315113,"1856 Los Angeles Ave, Los Angeles",1,0.34,2,2.35,99,3,22,CCS,2016,0,4.4,2,Monthly,66.0,2.35,71.18571428571428,88.25,High,57.33678571428571,Upgrade Existing Station,33,39,291.72,7,64,Los Angeles,1161,1
EVS00074,39.839933,116.357848,"493 Beijing Ave, Beijing",0,0.23,0,14.31,80,3,350,"Type 2, CHAdeMO",2018,0,4.7,10,Monthly,53.333333333333336,14.31,85.99999999999999,28.449999999999996,High,79.4425,Build New Fast Charging Station,35,58,4669.0,5,74,Beijing,38065,1
EVS00075,39.818753,116.437967,"9969 Beijing Ave, Beijing",2,0.45,1,11.68,46,2,22,CCS,2017,1,4.6,1,Annually,30.666666666666664,11.68,34.08571428571429,41.6,Low,45.574285714285715,Monitor Demand,34,79,782.1000000000001,3,70,Beijing,27557,0
EVS00076,-23.531806,-46.657324,"3924 São Paulo Ave, São Paulo",1,0.16,0,12.25,12,4,50,CCS,2022,1,3.1,8,Monthly,8.0,12.25,12.685714285714283,38.74999999999999,Very Low,29.51178571428571,No Immediate Action,38,85,680.0,1,24,São Paulo,34763,0
EVS00077,13.764058,100.543192,"8503 Bangkok Ave, Bangkok",2,0.46,2,13.81,15,2,22,CCS,2023,1,5.0,10,Monthly,10.0,13.81,12.385714285714286,30.95,Very Low,32.871785714285714,Monitor Demand,24,84,850.08,1,32,Bangkok,33606,0
EVS00078,-33.756344,151.215081,"8542 Sydney Ave, Sydney",1,0.34,0,8.41,100,0,350,Tesla,2017,1,3.1,5,Monthly,66.66666666666666,8.41,100.0,57.95,High,79.7175,Build New Fast Charging Station,10,143,17017.0,7,47,Sydney,12534,1
EVS00079,18.95993,72.979858,"3381 Mumbai Ave, Mumbai",2,0.27,1,10.44,75,0,350,"CHAdeMO, Tesla",2022,1,4.6,2,Annually,50.0,10.44,82.5,47.8,Medium,70.02000000000001,Upgrade Existing Station,34,149,14080.500000000002,5,81,Mumbai,30127,1
EVS00080,34.174544,-118.206495,"1935 Los Angeles Ave, Los Angeles",1,0.45,0,19.25,99,1,150,"CHAdeMO, Tesla",2021,1,3.7,4,Annually,66.0,19.25,82.15714285714284,3.749999999999998,High,91.30035714285714,Build New Fast Charging Station,16,76,5130.0,7,43,Los Angeles,41397,1
EVS00081,-48.226753,-41.530541,"7612 Random Rd, City 96, Country",1,0.35,2,5.63,91,1,350,CHAdeMO,2023,0,4.1,10,Annually,60.66666666666667,5.63,93.7,71.85000000000001,High,70.08250000000001,Upgrade Existing Station,18,97,11882.499999999998,6,26,Country,26851,1
EVS00082,19.523567,-99.039919,"9806 Mexico City Ave, Mexico City",2,0.32,0,16.79,31,1,50,Type 2,2023,1,3.5,4,Quarterly,20.666666666666668,16.79,25.985714285714284,16.050000000000008,Very Low,47.526785714285715,Monitor Demand,33,48,768.0,2,57,Mexico City,2016,0
EVS00083,-33.791097,18.432514,"4122 Cape Town Ave, Cape Town",1,0.36,1,16.47,32,3,350,Tesla,2014,1,3.8,8,Quarterly,21.333333333333336,16.47,52.400000000000006,17.65000000000001,Very Low,57.78249999999999,Upgrade Existing Station,10,34,4284.0,2,56,Cape Town,25253,0
EVS00084,55.80858,37.561068,"6532 Moscow Ave, Moscow",1,0.28,1,13.67,82,0,150,Tesla,2010,1,3.8,1,Monthly,54.666666666666664,13.67,70.25714285714285,31.65,High,72.52535714285713,Upgrade Existing Station,17,31,1302.0000000000002,5,87,Moscow,25276,1
EVS00085,41.848181,-87.613822,"6285 Chicago Ave, Chicago",1,0.13,1,8.18,40,4,50,Tesla,2012,1,4.9,9,Monthly,26.666666666666668,8.18,32.285714285714285,59.099999999999994,Low,37.22928571428571,Monitor Demand,33,120,780.0000000000001,3,61,Chicago,24247,0
EVS00086,39.905622,116.394232,"1381 Beijing Ave, Beijing",1,0.49,0,16.11,99,4,50,"CHAdeMO, Type 2",2011,1,4.6,8,Monthly,66.0,16.11,73.58571428571427,19.45,High,82.3767857142857,Build New Fast Charging Station,20,103,2523.5,7,24,Beijing,25300,1
EVS00087,41.825261,-87.749237,"6829 Chicago Ave, Chicago",1,0.2,1,3.17,91,1,50,Type 2,2019,0,4.5,10,Monthly,60.66666666666667,3.17,67.98571428571428,84.15,High,55.49178571428571,Upgrade Existing Station,26,144,1440.0,6,83,Chicago,9529,1
EVS00088,-33.738647,18.566822,"760 Cape Town Ave, Cape Town",2,0.37,1,19.09,68,3,350,Type 2,2022,0,4.4,6,Monthly,45.33333333333333,19.09,77.60000000000001,4.549999999999999,Medium,81.44750000000002,Build New Fast Charging Station,17,122,15799.0,5,69,Cape Town,18262,1
EVS00089,43.633114,-79.440012,"7708 Toronto Ave, Toronto",0,0.16,2,3.08,99,0,50,CHAdeMO,2018,0,3.7,6,Quarterly,66.0,3.08,73.58571428571427,84.6,High,59.574285714285715,Upgrade Existing Station,44,43,344.0,7,34,Toronto,10268,1
EVS00090,55.816399,37.517124,"4669 Moscow Ave, Moscow",1,0.47,1,14.45,11,1,150,"Type 2, Tesla",2016,1,4.2,3,Quarterly,7.333333333333333,14.45,20.557142857142857,27.750000000000007,Very Low,36.260357142857146,Monitor Demand,44,129,9094.5,1,72,Moscow,22271,0
EVS00091,34.909016,103.164075,"9222 Random Rd, City 384, Country",0,0.19,0,11.59,98,3,150,Tesla,2015,1,4.3,10,Monthly,65.33333333333333,11.59,81.45714285714286,42.05,High,77.36535714285714,Build New Fast Charging Station,42,97,2764.5,7,44,Country,13185,1
EVS00092,37.737894,-122.413068,"7476 San Francisco Ave, San Francisco",0,0.39,0,13.83,58,1,350,"Tesla, CCS",2018,1,3.7,3,Annually,38.666666666666664,13.83,70.6,30.85,Low,66.9425,Upgrade Existing Station,14,120,16380.000000000002,4,28,San Francisco,22243,0
EVS00093,52.458154,13.383548,"6288 Berlin Ave, Berlin",0,0.11,2,6.63,18,2,350,"CHAdeMO, Type 2",2022,1,4.9,8,Annually,12.0,6.63,42.6,66.85,Very Low,33.142500000000005,Monitor Demand,48,147,5659.500000000001,1,57,Berlin,40099,0
