Station ID,Latitude,Longitude,Address,Charger Type,Cost (USD/kWh),Availability,Distance to City (km),Usage Stats (avg users/day),Station Operator,Charging Capacity (kW),Connector Types,Installation Year,Renewable Energy Source,Reviews (Rating),Parking Spots,Maintenance Frequency
EVS00011,19.944111,26.228083,"7123 Random Rd, City 463, Country",AC Level 1,0.39,9:00-18:00,17.42,59,EVgo,22,"Tesla, CHAdeMO",2013,No,3.7,5,Quarterly
EVS00012,55.81937,37.543245,"3932 Moscow Ave, Moscow",AC Level 1,0.17,6:00-22:00,1.88,18,Greenlots,150,"CHAdeMO, CCS",2016,Yes,4.0,5,Annually
EVS00013,52.506967,13.345088,"9250 Berlin Ave, Berlin",AC Level 1,0.16,9:00-18:00,11.77,73,ChargePoint,22,Tesla,2012,No,4.0,2,Quarterly
EVS00014,41.847035,-87.670005,"9047 Chicago Ave, Chicago",AC Level 2,0.16,24/7,3.21,66,Tesla,50,Tesla,2012,Yes,3.5,9,Annually
EVS00015,25.392096,55.28618,"3451 Dubai Ave, Dubai",AC Level 2,0.41,24/7,16.7,46,EVgo,350,"CCS, Tesla",2013,Yes,3.4,10,Quarterly
EVS00016,25.335831,55.227629,"3518 Dubai Ave, Dubai",AC Level 2,0.34,6:00-22:00,15.84,89,EVgo,22,CCS,2020,No,3.9,9,Quarterly
EVS00017,13.877602,100.508728,"3181 Bangkok Ave, Bangkok",AC Level 1,0.17,6:00-22:00,13.18,28,Ionity,350,"CCS, CHAdeMO",2018,No,4.0,3,Annually
EVS00018,37.790361,-122.378324,"4733 San Francisco Ave, San Francisco",AC Level 1,0.44,24/7,2.05,60,ChargePoint,150,CHAdeMO,2023,No,4.9,7,Annually
EVS00019,37.695636,127.050246,"9257 Seoul Ave, Seoul",AC Level 1,0.25,9:00-18:00,7.35,29,Tesla,350,"Type 2, CHAdeMO",2017,No,4.1,2,Monthly
EVS00020,19.519719,-99.171733,"7288 Mexico City Ave, Mexico City",DC Fast Charger,0.25,6:00-22:00,0.73,12,Tesla,350,Type 2,2023,Yes,3.2,5,Annually
EVS00021,81.568159,-92.791385,"6470 Random Rd, City 207, Country",DC Fast Charger,0.3,6:00-22:00,10.43,43,Ionity,150,"CHAdeMO, Tesla",2016,Yes,3.3,10,Quarterly
EVS00022,55.738402,37.675763,"9338 Moscow Ave, Moscow",AC Level 2,0.1,24/7,5.45,47,Tesla,350,CCS,2020,No,4.7,5,Quarterly
EVS00023,-33.826489,18.54196,"1194 Cape Town Ave, Cape Town",AC Level 2,0.43,9:00-18:00,15.05,14,Greenlots,350,"CHAdeMO, Tesla",2020,Yes,4.2,10,Annually
EVS00024,52.43128,13.407406,"128 Berlin Ave, Berlin",DC Fast Charger,0.21,24/7,9.92,52,Tesla,22,CHAdeMO,2023,Yes,4.4,2,Annually
EVS00025,41.989867,-87.637143,"1788 Chicago Ave, Chicago",AC Level 1,0.5,9:00-18:00,4.71,67,ChargePoint,50,"CCS, Tesla",2021,No,4.7,7,Quarterly
EVS00026,39.908197,116.390126,"6257 Beijing Ave, Beijing",DC Fast Charger,0.47,24/7,8.3,99,Greenlots,50,Type 2,2015,No,4.1,1,Monthly
EVS00027,13.743441,100.449744,"5641 Bangkok Ave, Bangkok",DC Fast Charger,0.5,9:00-18:00,17.76,25,ChargePoint,150,Tesla,2020,No,4.1,7,Annually
EVS00028,-23.654772,-46.534003,"1145 São Paulo Ave, São Paulo",AC Level 1,0.25,24/7,13.65,52,Tesla,50,CCS,2014,No,4.7,3,Quarterly
EVS00029,-33.718044,151.217306,"3343 Sydney Ave, Sydney",AC Level 1,0.45,6:00-22:00,8.36,72,Ionity,22,Tesla,2017,No,4.8,9,Annually
EVS00030,39.807514,116.203733,"7835 Beijing Ave, Beijing",DC Fast Charger,0.2,6:00-22:00,5.52,27,EVgo,50,"CHAdeMO, Type 2",2013,No,3.0,5,Annually
EVS00031,53.03844,17.213144,"8491 Random Rd, City 59, Country",AC Level 2,0.17,24/7,9.13,36,Tesla,22,"CHAdeMO, CCS",2018,Yes,3.6,5,Quarterly
EVS00032,39.999797,116.345712,"3787 Beijing Ave, Beijing",AC Level 2,0.19,9:00-18:00,18.44,90,Tesla,150,"Tesla, Type 2",2020,Yes,4.1,3,Quarterly
EVS00033,-23.619267,-46.67757,"5423 São Paulo Ave, São Paulo",DC Fast Charger,0.46,24/7,18.39,97,Tesla,350,"CCS, Type 2",2018,No,3.7,7,Monthly
EVS00034,39.843388,116.357078,"8032 Beijing Ave, Beijing",AC Level 1,0.21,6:00-22:00,0.84,59,EVgo,150,"CHAdeMO, CCS",2018,Yes,3.7,9,Monthly
EVS00035,41.868532,-87.602875,"9647 Chicago Ave, Chicago",AC Level 2,0.22,9:00-18:00,9.7,16,Ionity,50,CHAdeMO,2015,Yes,4.4,2,Annually
EVS00036,43.634205,-79.494221,"1648 Toronto Ave, Toronto",AC Level 2,0.39,6:00-22:00,10.84,21,Greenlots,22,"Type 2, Tesla",2012,Yes,4.7,4,Monthly
EVS00037,13.756978,100.402198,"880 Bangkok Ave, Bangkok",AC Level 1,0.29,9:00-18:00,1.28,50,Greenlots,350,Type 2,2016,No,4.3,1,Quarterly
EVS00038,-33.759342,151.210366,"8960 Sydney Ave, Sydney",AC Level 1,0.13,9:00-18:00,19.06,61,Ionity,22,CHAdeMO,2018,Yes,4.2,4,Quarterly
EVS00039,39.941888,116.320916,"2131 Beijing Ave, Beijing",DC Fast Charger,0.37,24/7,15.63,69,Ionity,350,"CCS, CHAdeMO",2023,Yes,4.2,3,Annually
EVS00040,-33.726294,18.460786,"6005 Cape Town Ave, Cape Town",AC Level 2,0.41,24/7,14.62,15,Tesla,50,"CHAdeMO, Tesla",2012,No,4.9,1,Annually
EVS00041,-52.343695,-47.887828,"1309 Random Rd, City 47, Country",AC Level 1,0.44,6:00-22:00,2.03,20,EVgo,350,Tesla,2014,No,5.0,3,Annually
EVS00042,41.978341,-87.77332,"2960 Chicago Ave, Chicago",DC Fast Charger,0.39,9:00-18:00,19.63,14,Tesla,50,"Type 2, Tesla",2023,No,4.8,3,Monthly
EVS00043,25.281221,55.258951,"1916 Dubai Ave, Dubai",AC Level 1,0.27,6:00-22:00,5.06,73,Greenlots,50,"Tesla, CHAdeMO",2012,Yes,4.3,8,Quarterly
EVS00044,37.574357,127.067507,"5156 Seoul Ave, Seoul",AC Level 1,0.36,9:00-18:00,2.38,96,ChargePoint,50,CCS,2019,No,3.8,3,Monthly
EVS00045,-33.737572,151.335511,"7799 Sydney Ave, Sydney",AC Level 2,0.4,9:00-18:00,19.67,78,Ionity,22,Tesla,2018,Yes,4.4,3,Quarterly
EVS00046,41.935571,-87.741868,"8397 Chicago Ave, Chicago",DC Fast Charger,0.22,9:00-18:00,2.58,12,EVgo,50,Tesla,2020,No,3.6,3,Quarterly
EVS00047,19.055518,72.88937,"2970 Mumbai Ave, Mumbai",AC Level 1,0.35,24/7,19.4,68,Ionity,50,"CCS, Tesla",2021,Yes,3.0,9,Quarterly
EVS00048,-33.786133,151.295304,"4355 Sydney Ave, Sydney",DC Fast Charger,0.13,24/7,2.31,56,ChargePoint,150,CHAdeMO,2022,No,3.5,4,Annually
EVS00049,41.878593,-87.69892,"689 Chicago Ave, Chicago",AC Level 1,0.18,9:00-18:00,19.26,40,ChargePoint,150,"CHAdeMO, CCS",2011,Yes,3.8,8,Monthly
EVS00050,34.18596,-118.347082,"8531 Los Angeles Ave, Los Angeles",AC Level 2,0.47,24/7,2.49,26,ChargePoint,150,Tesla,2023,Yes,4.3,9,Monthly
EVS00051,68.997157,173.396684,"7905 Random Rd, City 102, Country",AC Level 1,0.45,24/7,2.29,75,EVgo,50,CHAdeMO,2022,No,5.0,9,Annually
EVS00052,52.424113,13.37999,"8806 Berlin Ave, Berlin",AC Level 2,0.33,9:00-18:00,8.56,50,ChargePoint,50,"CHAdeMO, CCS",2011,No,3.4,3,Monthly
EVS00053,55.720058,37.598246,"4130 Moscow Ave, Moscow",AC Level 2,0.49,9:00-18:00,3.09,79,Greenlots,22,"CCS, Tesla",2017,No,3.8,4,Annually
EVS00054,41.948302,-87.718438,"6541 Chicago Ave, Chicago",DC Fast Charger,0.37,24/7,1.98,79,Ionity,50,CHAdeMO,2016,Yes,4.7,4,Annually
EVS00055,37.5231,127.072447,"4005 Seoul Ave, Seoul",AC Level 1,0.13,24/7,9.16,19,Tesla,150,CHAdeMO,2013,Yes,3.5,5,Quarterly
EVS00056,19.118476,72.956977,"5574 Mumbai Ave, Mumbai",AC Level 2,0.18,6:00-22:00,11.91,50,ChargePoint,150,CCS,2013,Yes,4.2,4,Quarterly
EVS00057,25.283465,55.264578,"6085 Dubai Ave, Dubai",DC Fast Charger,0.42,9:00-18:00,15.85,67,Greenlots,50,CHAdeMO,2018,No,4.5,8,Quarterly
EVS00058,37.601252,127.028633,"4787 Seoul Ave, Seoul",AC Level 1,0.41,9:00-18:00,13.14,71,EVgo,150,"Tesla, CCS",2012,Yes,4.0,4,Monthly
EVS00059,41.959182,-87.684862,"4378 Chicago Ave, Chicago",DC Fast Charger,0.18,24/7,6.73,13,EVgo,350,CHAdeMO,2022,No,3.5,9,Quarterly
EVS00060,41.801381,-87.620772,"16 Chicago Ave, Chicago",AC Level 2,0.3,9:00-18:00,6.78,26,Tesla,22,Tesla,2010,Yes,3.1,4,Monthly
EVS00061,35.844347,28.705089,"5140 Random Rd, City 50, Country",DC Fast Charger,0.33,9:00-18:00,14.4,75,Ionity,22,Tesla,2020,No,4.6,4,Quarterly
EVS00062,-33.733482,18.441992,"7833 Cape Town Ave, Cape Town",DC Fast Charger,0.23,6:00-22:00,0.68,68,Greenlots,50,Type 2,2023,Yes,4.9,8,Quarterly
EVS00063,41.970902,-87.795455,"2876 Chicago Ave, Chicago",DC Fast Charger,0.28,9:00-18:00,0.96,49,Greenlots,350,Type 2,2018,No,3.8,9,Annually
EVS00064,43.73349,-79.340516,"5576 Toronto Ave, Toronto",AC Level 2,0.36,24/7,5.16,31,Ionity,22,Tesla,2018,Yes,3.3,4,Annually
EVS00065,25.387104,55.376848,"335 Dubai Ave, Dubai",DC Fast Charger,0.27,24/7,6.58,67,Greenlots,350,"CCS, Type 2",2019,No,4.8,7,Quarterly
EVS00066,-33.877766,151.208813,"9172 Sydney Ave, Sydney",DC Fast Charger,0.32,24/7,13.68,31,EVgo,350,Tesla,2013,Yes,3.6,3,Monthly
EVS00067,37.685854,126.915749,"5052 Seoul Ave, Seoul",AC Level 2,0.45,24/7,8.37,20,Greenlots,150,CHAdeMO,2020,Yes,3.0,3,Monthly
EVS00068,39.924519,116.33618,"6966 Beijing Ave, Beijing",DC Fast Charger,0.36,24/7,11.72,43,Tesla,350,"CHAdeMO, Type 2",2015,No,4.5,3,Quarterly
EVS00069,25.358698,55.306683,"1979 Dubai Ave, Dubai",DC Fast Charger,0.14,6:00-22:00,4.71,13,Ionity,50,"Tesla, CCS",2016,Yes,3.9,8,Monthly
EVS00070,34.130318,-118.265518,"436 Los Angeles Ave, Los Angeles",DC Fast Charger,0.41,6:00-22:00,8.75,31,ChargePoint,150,Tesla,2020,No,4.4,10,Quarterly
EVS00071,81.083548,138.025159,"6980 Random Rd, City 205, Country",AC Level 2,0.44,9:00-18:00,11.03,19,Greenlots,50,CCS,2017,Yes,4.0,3,Monthly
EVS00072,-33.796979,18.591207,"9085 Cape Town Ave, Cape Town",AC Level 1,0.46,9:00-18:00,4.17,37,Tesla,22,CHAdeMO,2020,Yes,4.9,6,Quarterly
EVS00073,34.001771,-118.315113,"1856 Los Angeles Ave, Los Angeles",AC Level 2,0.34,9:00-18:00,2.35,99,Ionity,22,CCS,2016,No,4.4,2,Monthly
EVS00074,39.839933,116.357848,"493 Beijing Ave, Beijing",AC Level 1,0.23,24/7,14.31,80,Ionity,350,"Type 2, CHAdeMO",2018,No,4.7,10,Monthly
EVS00075,39.818753,116.437967,"9969 Beijing Ave, Beijing",DC Fast Charger,0.45,6:00-22:00,11.68,46,Greenlots,22,CCS,2017,Yes,4.6,1,Annually
EVS00076,-23.531806,-46.657324,"3924 São Paulo Ave, São Paulo",AC Level 2,0.16,24/7,12.25,12,Tesla,50,CCS,2022,Yes,3.1,8,Monthly
EVS00077,13.764058,100.543192,"8503 Bangkok Ave, Bangkok",DC Fast Charger,0.46,9:00-18:00,13.81,15,Greenlots,22,CCS,2023,Yes,5.0,10,Monthly
EVS00078,-33.756344,151.215081,"8542 Sydney Ave, Sydney",AC Level 2,0.34,24/7,8.41,100,ChargePoint,350,Tesla,2017,Yes,3.1,5,Monthly
EVS00079,18.95993,72.979858,"3381 Mumbai Ave, Mumbai",DC Fast Charger,0.27,6:00-22:00,10.44,75,ChargePoint,350,"CHAdeMO, Tesla",2022,Yes,4.6,2,Annually
EVS00080,34.174544,-118.206495,"1935 Los Angeles Ave, Los Angeles",AC Level 2,0.45,24/7,19.25,99,EVgo,150,"CHAdeMO, Tesla",2021,Yes,3.7,4,Annually
EVS00081,-48.226753,-41.530541,"7612 Random Rd, City 96, Country",AC Level 2,0.35,9:00-18:00,5.63,91,EVgo,350,CHAdeMO,2023,No,4.1,10,Annually
EVS00082,19.523567,-99.039919,"9806 Mexico City Ave, Mexico City",DC Fast Charger,0.32,24/7,16.79,31,EVgo,50,Type 2,2023,Yes,3.5,4,Quarterly
EVS00083,-33.791097,18.432514,"4122 Cape Town Ave, Cape Town",AC Level 2,0.36,6:00-22:00,16.47,32,Ionity,350,Tesla,2014,Yes,3.8,8,Quarterly
EVS00084,55.80858,37.561068,"6532 Moscow Ave, Moscow",AC Level 2,0.28,6:00-22:00,13.67,82,ChargePoint,150,Tesla,2010,Yes,3.8,1,Monthly
EVS00085,41.848181,-87.613822,"6285 Chicago Ave, Chicago",AC Level 2,0.13,6:00-22:00,8.18,40,Tesla,50,Tesla,2012,Yes,4.9,9,Monthly
EVS00086,39.905622,116.394232,"1381 Beijing Ave, Beijing",AC Level 2,0.49,24/7,16.11,99,Tesla,50,"CHAdeMO, Type 2",2011,Yes,4.6,8,Monthly
EVS00087,41.825261,-87.749237,"6829 Chicago Ave, Chicago",AC Level 2,0.2,6:00-22:00,3.17,91,EVgo,50,Type 2,2019,No,4.5,10,Monthly
EVS00088,-33.738647,18.566822,"760 Cape Town Ave, Cape Town",DC Fast Charger,0.37,6:00-22:00,19.09,68,Ionity,350,Type 2,2022,No,4.4,6,Monthly
EVS00089,43.633114,-79.440012,"7708 Toronto Ave, Toronto",AC Level 1,0.16,9:00-18:00,3.08,99,ChargePoint,50,CHAdeMO,2018,No,3.7,6,Quarterly
EVS00090,55.816399,37.517124,"4669 Moscow Ave, Moscow",AC Level 2,0.47,6:00-22:00,14.45,11,EVgo,150,"Type 2, Tesla",2016,Yes,4.2,3,Quarterly
EVS00091,34.909016,103.164075,"9222 Random Rd, City 384, Country",AC Level 1,0.19,24/7,11.59,98,Ionity,150,Tesla,2015,Yes,4.3,10,Monthly
EVS00092,37.737894,-122.413068,"7476 San Francisco Ave, San Francisco",AC Level 1,0.39,24/7,13.83,58,EVgo,350,"Tesla, CCS",2018,Yes,3.7,3,Annually
EVS00093,52.458154,13.383548,"6288 Berlin Ave, Berlin",AC Level 1,0.11,9:00-18:00,6.63,18,Greenlots,350,"CHAdeMO, Type 2",2022,Yes,4.9,8,Annually
EVS00094,52.459482,13.420488,"9796 Berlin Ave, Berlin",AC Level 2,0.3,9:00-18:00,5.57,79,Tesla,50,CCS,2018,Yes,3.5,7,Monthly
EVS00095,13.875159,100.507561,"2173 Bangkok Ave, Bangkok",AC Level 1,0.3,6:00-22:00,10.97,67,Greenlots,22,CHAdeMO,2021,No,3.9,3,Quarterly
EVS00096,-23.603702,-46.520629,"3633 São Paulo Ave, São Paulo",AC Level 1,0.11,24/7,18.49,85,ChargePoint,50,"Type 2, CHAdeMO",2014,Yes,4.9,2,Monthly
EVS00097,34.036969,-118.348881,"8984 Los Angeles Ave, Los Angeles",AC Level 2,0.44,24/7,9.05,25,Tesla,22,"CCS, CHAdeMO",2020,Yes,4.5,5,Quarterly
EVS00098,39.85934,116.359182,"7371 Beijing Ave, Beijing",DC Fast Charger,0.2,6:00-22:00,10.82,85,Tesla,350,"CHAdeMO, Type 2",2023,No,3.8,5,Quarterly
EVS00099,25.264785,55.343229,"8983 Dubai Ave, Dubai",AC Level 2,0.41,9:00-18:00,4.43,17,Tesla,350,"Type 2, CCS",2015,Yes,3.9,8,Quarterly
EVS00100,37.568724,126.962294,"1750 Seoul Ave, Seoul",AC Level 2,0.41,9:00-18:00,3.0,54,ChargePoint,150,Type 2,2018,No,4.8,10,Monthly
EVS00101,10.942627,125.16781,"7940 Random Rd, City 40, Country",DC Fast Charger,0.12,24/7,3.06,22,ChargePoint,50,Tesla,2013,Yes,3.2,1,Quarterly
EVS00102,39.937451,116.323201,"7022 Beijing Ave, Beijing",DC Fast Charger,0.12,24/7,17.81,41,Ionity,22,"CHAdeMO, Type 2",2023,No,3.2,4,Monthly
EVS00103,37.64878,126.903295,"5496 Seoul Ave, Seoul",AC Level 1,0.32,9:00-18:00,8.26,20,Greenlots,22,Type 2,2010,No,3.3,7,Monthly
EVS00104,43.737898,-79.330018,"4326 Toronto Ave, Toronto",AC Level 2,0.14,6:00-22:00,19.64,93,Ionity,22,"CCS, Tesla",2020,No,3.4,5,Annually
EVS00105,19.587423,-99.072921,"1236 Mexico City Ave, Mexico City",AC Level 2,0.26,24/7,3.62,76,EVgo,150,Type 2,2018,No,4.4,10,Quarterly
EVS00106,19.521945,-99.049855,"2317 Mexico City Ave, Mexico City",AC Level 2,0.29,9:00-18:00,0.56,47,ChargePoint,350,Type 2,2012,No,3.2,1,Monthly
EVS00107,-33.733347,18.455827,"7328 Cape Town Ave, Cape Town",DC Fast Charger,0.31,6:00-22:00,12.84,96,ChargePoint,22,Tesla,2011,No,4.8,7,Annually
EVS00108,18.97956,72.963574,"9772 Mumbai Ave, Mumbai",AC Level 2,0.11,6:00-22:00,3.14,43,Tesla,350,CCS,2020,Yes,5.0,7,Annually
EVS00109,55.723104,37.652898,"5042 Moscow Ave, Moscow",DC Fast Charger,0.19,24/7,17.93,62,Ionity,50,CCS,2018,No,3.3,7,Quarterly
EVS00110,39.857604,116.357044,"7308 Beijing Ave, Beijing",AC Level 1,0.19,9:00-18:00,3.73,68,EVgo,350,"CHAdeMO, Type 2",2018,Yes,4.3,9,Quarterly
EVS00111,-16.299957,56.504931,"7129 Random Rd, City 300, Country",DC Fast Charger,0.15,6:00-22:00,7.14,43,Ionity,350,Type 2,2010,Yes,3.2,7,Quarterly
EVS00112,41.902876,-87.633567,"4833 Chicago Ave, Chicago",AC Level 1,0.35,6:00-22:00,2.2,48,Greenlots,50,Tesla,2017,Yes,4.1,2,Quarterly
EVS00113,13.76324,100.555092,"563 Bangkok Ave, Bangkok",AC Level 2,0.27,24/7,17.19,22,ChargePoint,150,"CCS, CHAdeMO",2014,Yes,3.2,10,Annually
EVS00114,19.085914,72.847076,"1666 Mumbai Ave, Mumbai",AC Level 2,0.39,6:00-22:00,18.54,19,ChargePoint,50,"Tesla, Type 2",2022,Yes,3.5,9,Quarterly
EVS00115,37.614963,127.071672,"3505 Seoul Ave, Seoul",AC Level 2,0.31,6:00-22:00,9.12,59,Greenlots,50,"Tesla, Type 2",2018,No,3.4,4,Monthly
EVS00116,41.945245,-87.702684,"8657 Chicago Ave, Chicago",AC Level 2,0.3,6:00-22:00,1.96,57,ChargePoint,50,Tesla,2017,Yes,4.9,1,Annually
EVS00117,39.964943,116.356573,"2491 Beijing Ave, Beijing",AC Level 2,0.37,6:00-22:00,6.45,44,Ionity,22,"CHAdeMO, CCS",2010,No,4.1,7,Annually
EVS00118,25.364988,55.308793,"7486 Dubai Ave, Dubai",DC Fast Charger,0.17,24/7,13.63,89,Tesla,22,CCS,2015,No,4.4,8,Quarterly
EVS00119,25.327731,55.265229,"157 Dubai Ave, Dubai",AC Level 2,0.18,9:00-18:00,18.85,44,Greenlots,50,"CCS, CHAdeMO",2017,Yes,3.9,6,Monthly
EVS00120,-33.752322,151.290734,"3530 Sydney Ave, Sydney",AC Level 2,0.28,24/7,11.27,62,Tesla,150,"Type 2, CHAdeMO",2023,No,3.1,9,Annually
EVS00121,-39.773789,-118.454132,"950 Random Rd, City 136, Country",DC Fast Charger,0.4,24/7,6.67,92,Tesla,150,"CCS, Type 2",2017,Yes,3.6,3,Annually
EVS00122,34.006015,-118.340642,"170 Los Angeles Ave, Los Angeles",AC Level 2,0.29,9:00-18:00,18.6,57,Greenlots,50,CCS,2021,Yes,3.3,2,Monthly
EVS00123,-23.632022,-46.571271,"8450 São Paulo Ave, São Paulo",AC Level 2,0.21,6:00-22:00,7.71,62,Tesla,50,Type 2,2021,Yes,3.7,7,Quarterly
EVS00124,55.879507,37.662621,"5746 Moscow Ave, Moscow",AC Level 2,0.46,24/7,8.61,83,EVgo,50,"Tesla, CHAdeMO",2019,Yes,4.5,6,Monthly
EVS00125,-33.85476,151.300876,"5550 Sydney Ave, Sydney",DC Fast Charger,0.48,6:00-22:00,14.6,33,Tesla,50,"CHAdeMO, CCS",2022,No,3.1,1,Monthly
EVS00126,37.532948,127.008718,"7503 Seoul Ave, Seoul",AC Level 1,0.47,24/7,14.8,45,Tesla,150,"Type 2, Tesla",2021,Yes,4.3,10,Annually
EVS00127,19.432658,-99.086061,"6276 Mexico City Ave, Mexico City",DC Fast Charger,0.21,6:00-22:00,5.86,49,Ionity,22,CCS,2012,No,4.2,8,Quarterly
EVS00128,-33.872186,151.346868,"6208 Sydney Ave, Sydney",AC Level 2,0.16,24/7,15.95,71,Ionity,50,CCS,2013,No,4.1,6,Annually
EVS00129,39.916791,116.267198,"3833 Beijing Ave, Beijing",AC Level 1,0.1,6:00-22:00,11.77,66,Ionity,22,"CCS, Type 2",2021,Yes,4.3,4,Quarterly
EVS00130,41.933882,-87.634607,"4948 Chicago Ave, Chicago",DC Fast Charger,0.35,24/7,10.65,58,EVgo,150,CCS,2013,Yes,4.0,4,Annually
EVS00131,32.988859,32.234936,"8806 Random Rd, City 293, Country",AC Level 1,0.16,6:00-22:00,16.3,28,Tesla,50,CCS,2012,Yes,4.5,1,Annually
EVS00132,41.968075,-87.730962,"2642 Chicago Ave, Chicago",AC Level 1,0.27,9:00-18:00,4.99,32,EVgo,150,CCS,2016,No,4.9,1,Quarterly
EVS00133,25.312641,55.273931,"1811 Dubai Ave, Dubai",DC Fast Charger,0.43,6:00-22:00,2.45,37,EVgo,22,Tesla,2014,Yes,4.8,4,Monthly
EVS00134,41.847635,-87.753595,"3495 Chicago Ave, Chicago",AC Level 1,0.33,24/7,9.03,26,Greenlots,50,"Tesla, CCS",2017,No,4.5,8,Monthly
EVS00135,19.053562,72.835112,"821 Mumbai Ave, Mumbai",DC Fast Charger,0.25,6:00-22:00,6.6,45,Greenlots,350,"Tesla, Type 2",2017,No,4.3,10,Quarterly
EVS00136,-33.885375,151.309019,"6193 Sydney Ave, Sydney",AC Level 1,0.34,6:00-22:00,5.92,30,Tesla,350,"CHAdeMO, Tesla",2010,No,4.6,4,Quarterly
EVS00137,-33.762238,18.497402,"3078 Cape Town Ave, Cape Town",AC Level 1,0.41,9:00-18:00,0.59,37,Ionity,350,Type 2,2020,Yes,3.4,4,Quarterly
EVS00138,43.667051,-79.49562,"4542 Toronto Ave, Toronto",DC Fast Charger,0.33,6:00-22:00,18.44,98,Tesla,22,"CHAdeMO, CCS",2019,Yes,4.7,2,Quarterly
EVS00139,39.972485,116.200458,"852 Beijing Ave, Beijing",AC Level 1,0.34,6:00-22:00,12.54,94,Ionity,22,Type 2,2016,Yes,5.0,3,Quarterly
EVS00140,-33.704286,18.454534,"5698 Cape Town Ave, Cape Town",AC Level 2,0.5,6:00-22:00,6.97,76,Tesla,350,CCS,2011,Yes,4.3,4,Monthly
EVS00141,-50.498253,-91.137594,"8709 Random Rd, City 424, Country",AC Level 1,0.35,6:00-22:00,13.3,87,Tesla,22,"CCS, Type 2",2010,No,4.7,6,Quarterly
EVS00142,39.92592,116.423656,"3638 Beijing Ave, Beijing",AC Level 1,0.11,24/7,8.57,85,ChargePoint,150,CCS,2022,No,4.4,10,Monthly
EVS00143,-33.77252,18.541711,"4783 Cape Town Ave, Cape Town",AC Level 2,0.44,6:00-22:00,0.74,14,ChargePoint,50,"Type 2, CCS",2023,No,3.4,8,Monthly
EVS00144,43.654641,-79.348446,"7845 Toronto Ave, Toronto",DC Fast Charger,0.15,6:00-22:00,14.65,80,Greenlots,150,CCS,2017,Yes,4.1,4,Annually
EVS00145,55.720416,37.545201,"3962 Moscow Ave, Moscow",AC Level 1,0.5,24/7,10.27,34,Greenlots,350,"CCS, Tesla",2012,Yes,4.4,9,Annually
EVS00146,-23.545409,-46.511423,"7670 São Paulo Ave, São Paulo",DC Fast Charger,0.2,24/7,18.53,33,Greenlots,50,CHAdeMO,2010,Yes,4.1,3,Annually
EVS00147,13.874673,100.499411,"642 Bangkok Ave, Bangkok",AC Level 1,0.39,6:00-22:00,14.29,42,ChargePoint,350,Tesla,2011,Yes,4.1,9,Quarterly
EVS00148,52.45077,13.404804,"668 Berlin Ave, Berlin",AC Level 1,0.41,6:00-22:00,0.64,52,ChargePoint,150,Tesla,2011,No,5.0,6,Monthly
EVS00149,19.494854,-99.114742,"2735 Mexico City Ave, Mexico City",AC Level 2,0.26,24/7,10.3,75,Tesla,50,"CHAdeMO, Type 2",2018,Yes,4.8,9,Quarterly
EVS00150,37.769385,-122.409949,"8002 San Francisco Ave, San Francisco",AC Level 2,0.5,6:00-22:00,13.46,95,EVgo,22,Type 2,2017,No,5.0,1,Monthly
